Match,Bet,Model %,Bookie %,Edge,Odds,Stake ($),If Win (+$),If Lose (-$)
Germany vs Curaçao,Away,28.3%,2.3%,+1060.7%,41.0,50.0,2000.0,-50.0
Spain vs Cape Verde,Away,30.2%,3.6%,+684.5%,26.0,50.0,1250.0,-50.0
Spain vs Saudi Arabia,Away,26.5%,3.7%,+587.7%,26.0,50.0,1250.0,-50.0
France vs Iraq,Away,28.0%,4.1%,+544.3%,23.0,50.0,1100.0,-50.0
Brazil vs Haiti,Away,27.8%,4.5%,+484.2%,21.0,50.0,1000.0,-50.0
Iraq vs Norway,Home,35.5%,6.7%,+396.6%,14.0,50.0,650.0,-50.0
Qatar vs Switzerland,Home,32.3%,6.3%,+385.0%,15.0,50.0,700.0,-50.0
Jordan vs Argentina,Home,24.1%,6.2%,+261.8%,15.0,46.75,654.5,-46.75
Canada vs Qatar,Away,29.9%,7.9%,+258.2%,12.0,50.0,550.0,-50.0
Curaçao vs Ivory Coast,Home,24.4%,6.8%,+241.4%,14.0,46.43,603.59,-46.43
Portugal vs DR Congo,Away,30.2%,8.5%,+232.7%,11.0,50.0,500.0,-50.0
Ecuador vs Curaçao,Away,24.9%,7.2%,+224.1%,13.0,46.68,560.16,-46.68
Panama vs England,Home,30.1%,9.4%,+201.5%,10.0,50.0,450.0,-50.0
Portugal vs Uzbekistan,Away,26.8%,8.6%,+195.1%,11.0,48.77,487.7,-48.77
Austria vs Jordan,Away,30.1%,10.0%,+185.9%,9.5,50.0,425.0,-50.0
Argentina vs Algeria,Away,31.2%,10.4%,+180.9%,9.0,50.0,400.0,-50.0
Uzbekistan vs Colombia,Home,28.9%,9.9%,+174.7%,9.5,50.0,425.0,-50.0
New Zealand vs Belgium,Home,23.1%,8.5%,+153.9%,11.0,38.47,384.7,-38.47
Belgium vs Iran,Away,30.4%,11.5%,+143.3%,8.0,50.0,350.0,-50.0
Senegal vs Iraq,Away,28.7%,11.8%,+129.4%,8.0,46.21,323.47,-46.21
France vs Senegal,Away,29.6%,12.6%,+121.7%,7.5,46.81,304.26,-46.81
Morocco vs Haiti,Away,23.0%,10.0%,+118.5%,9.5,34.85,296.23,-34.85
Colombia vs DR Congo,Away,28.7%,12.6%,+115.3%,7.5,44.35,288.28,-44.35
Scotland vs Brazil,Home,28.0%,12.5%,+110.3%,7.5,42.42,275.73,-42.42
Ghana vs Panama,Away,61.0%,27.6%,+107.4%,3.4,50.0,120.0,-50.0
England vs Ghana,Away,22.2%,10.5%,+100.0%,9.0,31.24,249.92,-31.24
Uruguay vs Cape Verde,Away,24.8%,11.7%,+98.3%,8.0,35.12,245.84,-35.12
Germany vs Ivory Coast,Away,32.6%,15.7%,+95.9%,6.0,47.94,239.7,-47.94
Saudi Arabia vs Uruguay,Home,24.7%,12.4%,+85.5%,7.5,32.89,213.78,-32.89
Tunisia vs Netherlands,Home,27.9%,14.3%,+81.1%,6.5,36.88,202.84,-36.88
Panama vs Croatia,Home,27.4%,14.5%,+78.1%,6.5,35.52,195.36,-35.52
Brazil vs Morocco,Away,32.3%,17.1%,+77.5%,5.5,43.04,193.68,-43.04
Jordan vs Algeria,Home,26.0%,14.5%,+69.0%,6.5,31.37,172.53,-31.37
South Africa vs South Korea,Home,27.6%,15.8%,+65.3%,6.0,32.67,163.35,-32.67
South Africa vs South Korea,Home,27.6%,15.8%,+65.3%,6.0,32.67,163.35,-32.67
