0,1,FIFA World Cup 26 Copa Mundial de la FIFA 2026 (Spanish) Coupe du Monde de la FIFA 2026 (French),FIFA World Cup 26 Copa Mundial de la FIFA 2026 (Spanish) Coupe du Monde de la FIFA 2026 (French).1,Allowed to vote,Ineligible to vote,"('Nation', 'Nation')","('Vote', 'Round 1')",City,Stadium,Capacity,Image,2,Pot 1,Pot 2,Pot 3,Pot 4,Team,Hotel,Training site,Round,Matchday,Date,Pairings,Groups,Pos,Teamvte,Pld,W,D,L,GF,GA,GD,Pts,Qualification,Mexico,2–0,South Africa,South Korea,Match 2,Czech Republic,Match 25,Match 28,Match 53,Match 54,Canada,Match 3,Bosnia and Herzegovina,Qatar,Match 8,Switzerland,Match 26,Match 27,Match 51,Match 52,Brazil,Match 7,Morocco,Haiti,Match 5,Scotland,Match 30,Match 29,Match 49,Match 50,United States,Match 4,Paraguay,Australia,Match 6,Turkey,Match 32,Match 31,Match 59,Match 60,Germany,Match 10,Curaçao,Ivory Coast,Match 9,Ecuador,Match 33,Match 34,Match 55,Match 56,Netherlands,Match 11,Japan,Sweden,Match 12,Tunisia,Match 35,Match 36,Match 57,Match 58,Belgium,Match 16,Egypt,Iran,Match 15,New Zealand,Match 39,Match 40,Match 63,Match 64,Spain,Match 14,Cape Verde,Saudi Arabia,Match 13,Uruguay,Match 38,Match 37,Match 65,Match 66,France,Match 17,Senegal,Iraq,Match 18,Norway,Match 42,Match 41,Match 61,Match 62,Argentina,Match 19,Algeria,Austria,Match 20,Jordan,Match 43,Match 44,Match 69,Match 70,Portugal,Match 23,DR Congo,Uzbekistan,Match 24,Colombia,Match 47,Match 48,Match 71,Match 72,England,Match 22,Croatia,Ghana,Match 21,Panama,Match 45,Match 46,Match 67,Match 68,Grp,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Runner-up Group A,Match 73,Runner-up Group B,Winner Group C,Match 76,Runner-up Group F,Winner Group E,Match 74,3rd Group A/B/C/D/F,Winner Group F,Match 75,Runner-up Group C,Runner-up Group E,Match 78,Runner-up Group I,Winner Group I,Match 77,3rd Group C/D/F/G/H,Winner Group A,Match 79,3rd Group C/E/F/H/I,Winner Group L,Match 80,3rd Group E/H/I/J/K,Winner Group G,Match 82,3rd Group A/E/H/I/J,Winner Group D,Match 81,3rd Group B/E/F/I/J,Winner Group H,Match 84,Runner-up Group J,Runner-up Group K,Match 83,Runner-up Group L,Winner Group B,Match 85,3rd Group E/F/G/I/J,Runner-up Group D,Match 88,Runner-up Group G,Winner Group J,Match 86,Runner-up Group H,Winner Group K,Match 87,3rd Group D/E/I/J/L,Winner Match 73,Match 90,Winner Match 75,Winner Match 74,Match 89,Winner Match 77,Winner Match 76,Match 91,Winner Match 78,Winner Match 79,Match 92,Winner Match 80,Winner Match 83,Match 93,Winner Match 84,Winner Match 81,Match 94,Winner Match 82,Winner Match 86,Match 95,Winner Match 88,Winner Match 85,Match 96,Winner Match 87,Winner Match 89,Match 97,Winner Match 90,Winner Match 93,Match 98,Winner Match 94,Winner Match 91,Match 99,Winner Match 92,Winner Match 95,Match 100,Winner Match 96,Winner Match 97,Match 101,Winner Match 98,Winner Match 99,Match 102,Winner Match 100,Loser Match 101,Match 103,Loser Match 102,Winner Match 101,Match 104,Winner Match 102,Player,Offense(s),Suspension(s),FIFA partners,FIFA World Cup sponsors,FIFA World Cup supporters,North American supporters,South American supporters,European supporters,Asian supporters,Atlanta,Boston,Dallas,Guadalajara,"('Place', 'Place')","('Teams', 'Teams')","('Amount (in millions)', 'Per team')","('Amount (in millions)', 'Total')",vte2026 FIFA World Cup,vte2026 FIFA World Cup.1,vte2026 FIFA World Cup finalists,vte2026 FIFA World Cup finalists.1,vteFIFA World Cup,vteFIFA World Cup.1,Links to related articles,Links to related articles.1,vte2026 FIFA World Cup stadiums,vte2026 FIFA World Cup stadiums.1,vteReferees at the 2026 FIFA World Cup,vteReferees at the 2026 FIFA World Cup.1,vteWorld championships in 2026,vteWorld championships in 2026.1
,"This article documents a current FIFA World Cup. Information may change rapidly as the event progresses. Initial news reports, scores, or statistics may be unreliable. The last updates to this article may not reflect the most current information. Please feel free to improve this article (but note that updates without valid and reliable references will be removed) or discuss changes on the talk page. (June 2026) (Learn how and when to remove this message)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tournament details,Tournament details,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Host countries,Canada Mexico United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dates,June 11 – July 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Teams,48 (from 6 confederations),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Venue,16 (in 16 host cities),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tournament statistics,Tournament statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Matches played,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Goals scored,2 (2 per match),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Attendance,"80,824 (80,824 per match)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Top scorers,Raúl Jiménez Julián Quiñones(1 goal each),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
